gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gm7846	11.287477919007728	-0.16683078563454048	1.039204086279727	0.160537076246286	0.8724580177324966	0.9333753073782305
Gm7854	2.9984242245596593	3.5257223480110715	2.5194401338631356	-1.3994070748587195	0.1616909465284682	0.2780639728894657
Gm7862	8.050380448072133	-0.5662497665229543	1.3605220158394302	0.4162003701010183	0.6772633889455293	0.8046337607497182
Gm7879	12.552508388757946	-1.6664896870192991	1.0289232314990076	1.6196443388603832	0.10530869925510394	0.19513203238509078
Gm7887	959.4607282466177	0.23114830216971463	0.12289533399814595	-1.8808549897687883	0.05999164743207378	0.12005274425603904
Gm7889	22.399876920696926	-0.44353538400225945	0.738193814570929	0.6008386622151012	0.5479474503998603	0.7034571376310575
Gm7895	63.19719172276527	-0.2190838389392859	0.47135473632552644	0.4647960910442247	0.6420774873344115	0.7789090511098967
Gm7899	6.401149481697503	-2.178120484896853	1.4894649539144451	1.4623509463398656	0.14364506429919446	0.2526277189834612
Gm7901	9.9163983023318	-0.4584055578803479	1.1184695426421656	0.40985072941499545	0.6819154503216829	0.8075370422785576
Gm7903	151.48367695297608	0.30200328473599003	0.32397048926819233	-0.9321938100540472	0.3512363738452734	0.5141383373445516
Gm7935	13.392997004799913	0.10360213166271938	0.9505364262889243	-0.10899333134154772	0.9132077796427367	0.9542587201135702
Gm7945	23.52122644080657	0.12854365094411857	0.7277548800566274	-0.1766304211304175	0.8597986971634113	0.9256505350185114
Gm7964	626.5754820759184	-0.1475407293231183	0.1511346929797617	0.9762201279813055	0.32895539079418384	0.48986504471386993
Gm7967	15.68643608896593	0.881746548588862	0.9888306114763479	-0.8917063634108103	0.37255034186641595	0.5363449992875453
Gm7984	12.449393196455981	-0.2145533226363113	1.040258609419812	0.20624998504552156	0.8365956446695906	0.9128811077351235
Gm7985	5.6415916526743475	0.19143548898174212	1.4486910309826053	-0.13214376626042681	0.8948705789518472	0.9453313365982985
Gm8010	3.7708113161342682	-1.1848667129743031	1.8694351245361112	0.633810019627357	0.5262048134414893	0.6858354472612604
Gm8011	7.177497684627333	6.350530382533112	1.9519902552669	-3.2533617242186437	0.001140482164243584	0.003376345687854857
Gm8020	3.7535855874827315	2.0778666813956375	2.1606941261012227	-0.9616662795047998	0.33621726608748226	0.497755474513662
Gm8024	3.776505021563832	-0.054628734317788426	1.9989480500053562	0.02732874139357551	0.9781975331084566	0.9873475652127547
Gm8038	17.502956579396294	1.2201290745337399	0.8573401162944282	-1.4231564012277276	0.15469082123859204	0.268111016849132
Gm805	5.408564837712571	0.8630453235464742	1.5736480549942633	-0.5484360501113577	0.5833925286300755	0.7325151170034921
